ID,X,Y,spud year,Direction
30-015-47374,6.150184E+05,3.564218E+06,2020,H
30-015-47454,6.180428E+05,3.552304E+06,2020,H
30-015-46850,6.171269E+05,3.546536E+06,2020,H
30-015-46899,6.166493E+05,3.546743E+06,2020,H
30-015-46900,6.166402E+05,3.546743E+06,2020,H
30-015-46902,6.164953E+05,3.546659E+06,2020,H
30-015-46904,6.168031E+05,3.546745E+06,2020,H
30-015-46907,6.163208E+05,3.546718E+06,2020,H
30-015-46909,6.120515E+05,3.564287E+06,2020,H
30-015-46910,6.108893E+05,3.552365E+06,2020,H
30-015-46934,6.113540E+05,3.552371E+06,2020,H
30-015-46936,6.114066E+05,3.552372E+06,2020,H
30-015-46940,6.109076E+05,3.552366E+06,2020,H
30-015-46941,6.108554E+05,3.552365E+06,2020,H
30-015-46942,6.109259E+05,3.552366E+06,2020,H
30-015-46943,6.113814E+05,3.552372E+06,2020,H
30-015-46950,6.113905E+05,3.552372E+06,2020,H
30-015-46962,6.200176E+05,3.549896E+06,2020,H
30-015-46974,6.200278E+05,3.549814E+06,2020,H
30-015-46988,6.141949E+05,3.544898E+06,2020,H
30-015-46990,6.147209E+05,3.544905E+06,2020,H
30-015-46992,6.147300E+05,3.544905E+06,2020,H
30-015-46993,6.150394E+05,3.544909E+06,2020,H
30-015-47016,6.150302E+05,3.544909E+06,2020,H
30-015-47017,6.142040E+05,3.544898E+06,2020,H
30-015-47818,6.145988E+05,3.552411E+06,2020,H
30-015-45112,6.134773E+05,3.565787E+06,2019,H
30-015-44930,6.127533E+05,3.565899E+06,2019,H
30-015-44977,6.127640E+05,3.565899E+06,2019,H
30-015-44931,6.127746E+05,3.565900E+06,2019,H
30-015-45935,6.125868E+05,3.552387E+06,2019,H
30-015-45153,6.134986E+05,3.565787E+06,2019,H
30-015-45336,6.141043E+05,3.570779E+06,2019,H
30-015-45152,6.134880E+05,3.565787E+06,2019,H
30-015-45337,6.141150E+05,3.570779E+06,2019,H
30-015-45387,6.145720E+05,3.570791E+06,2019,H
30-015-45484,6.150327E+05,3.552415E+06,2019,H
30-015-45508,6.150235E+05,3.552415E+06,2019,H
30-015-45388,6.152661E+05,3.570790E+06,2019,H
30-015-45485,6.154349E+05,3.552419E+06,2019,H
30-015-45540,6.154440E+05,3.552419E+06,2019,H
30-015-45230,6.157620E+05,3.570758E+06,2019,H
30-015-45053,6.158624E+05,3.564496E+06,2019,H
30-015-45656,6.161433E+05,3.553059E+06,2019,H
30-015-45658,6.161616E+05,3.553060E+06,2019,H
30-015-45232,6.162495E+05,3.570764E+06,2019,H
30-015-45453,6.160682E+05,3.564490E+06,2019,H
30-015-45054,6.160681E+05,3.564499E+06,2019,H
30-015-45844,6.090517E+05,3.564315E+06,2019,H
30-015-45863,6.092993E+05,3.552271E+06,2019,H
30-015-45846,6.093754E+05,3.552272E+06,2019,H
30-015-45816,6.091278E+05,3.564315E+06,2019,H
30-015-45842,6.090517E+05,3.564304E+06,2019,H
30-015-45852,6.093753E+05,3.552283E+06,2019,H
30-015-45850,6.092992E+05,3.552282E+06,2019,H
30-015-45847,6.097745E+05,3.552554E+06,2019,H
30-015-45820,6.091277E+05,3.564326E+06,2019,H
30-015-45853,6.096982E+05,3.552564E+06,2019,H
30-015-45838,6.097353E+05,3.564189E+06,2019,H
30-015-45860,6.097746E+05,3.552543E+06,2019,H
30-015-45855,6.097744E+05,3.552564E+06,2019,H
30-015-45823,6.103122E+05,3.564248E+06,2019,H
30-015-45824,6.103884E+05,3.564249E+06,2019,H
30-025-45600,6.210974E+05,3.547585E+06,2019,H
30-025-45846,6.218874E+05,3.547635E+06,2019,H
30-025-45869,6.216301E+05,3.547623E+06,2019,H
30-025-45870,6.216453E+05,3.547623E+06,2019,H
30-025-45841,6.218722E+05,3.547635E+06,2019,H
30-015-45636,6.166614E+05,3.553066E+06,2019,H
30-015-45632,6.166522E+05,3.553066E+06,2019,H
30-015-45058,6.167537E+05,3.564499E+06,2019,H
30-015-45055,6.165297E+05,3.564505E+06,2019,H
30-015-45251,6.167414E+05,3.570804E+06,2019,H
30-015-45233,6.167521E+05,3.570804E+06,2019,H
30-015-45202,6.167446E+05,3.564499E+06,2019,H
30-015-45452,6.167629E+05,3.564499E+06,2019,H
30-015-45793,6.080373E+05,3.549698E+06,2019,H
30-015-46279,6.076149E+05,3.549635E+06,2019,H
30-015-46274,6.081967E+05,3.549573E+06,2019,H
30-025-46422,6.303512E+05,3.550775E+06,2019,H
30-015-46046,6.162282E+05,3.570764E+06,2019,H
30-015-46242,6.092994E+05,3.552260E+06,2019,H
30-015-46276,6.081866E+05,3.549573E+06,2019,H
30-015-46493,6.170597E+05,3.546544E+06,2019,H
30-015-46250,6.091278E+05,3.564305E+06,2019,H
